"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
7240,00770213,Discontinuation,"ACID CONCENTRATE 2125","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","89.99G; 8.11G; 3.21G; 7.74G; 3.35G; 268.24G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2011-12-15,2011-12-15,"Business reasons",2017-04-19,2017-12-22,No
7243,00771279,Discontinuation,"ACID CONCENTRATE 2139","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","89.99G; 8.11G; 3.21G; 7.74G; 10.06G; 268.24G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2008-01-16,2008-01-16,"Business reasons",2017-04-19,2017-12-22,No
7246,02210061,Discontinuation,"ACID CONCENTRATE 2152","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","89.99G; 8.11G; 3.21G; 6.24G; 6.71G; 268.24G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2011-06-15,2011-06-15,"Business reasons",2017-04-19,2017-12-22,No
7249,02209780,Discontinuation,"ACID CONCENTRATE 2163","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","90G; 10.8G; 2.14G; 6.24G; 10.06G; 275G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2017-04-01,2017-04-01,"Business reasons",2017-04-19,2017-12-22,No
7252,02210134,Discontinuation,"ACID CONCENTRATE 2171","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","112.53G; 5.4G; 3.21G; 2.5G; 8.39G; 262.98G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2015-05-12,2015-05-12,"Business reasons",2017-04-19,2017-12-22,No
7255,02239490,Discontinuation,"ACID CONCENTRATE 2198","BAXTER CORPORATION","Concentrated Hemodialysis Solution","ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","10.8G; 1.61G; 7.49G; 10.1G; 263G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2004-01-07,2004-01-07,"Business reasons",2017-04-19,2017-12-22,No
7258,02158159,Discontinuation,"ACID CONCENTRATE D12264","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","45G; 5.41G; 2.14G; 6.24G; 5.02G; 263G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2008-01-01,2008-01-01,"Business reasons",2017-04-19,2017-12-22,No
7261,02217236,Discontinuation,"ACID CONCENTRATE D12292","BAXTER CORPORATION","Concentrated Hemodialysis Solution","ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","10.8G; 1.61G; 6.24G; 3.35G; 263G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2016-04-19,2016-04-19,"Business reasons",2017-04-19,2017-12-22,No
7264,02218860,Discontinuation,"ACID CONCENTRATE D12304","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; SODIUM CHLORIDE","90G; 10.8G; 1.61G; 7.48G; 263G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2003-03-03,2003-03-03,"Business reasons",2017-04-19,2017-12-22,No
7267,02160870,Discontinuation,"ACID CONCENTRATE D12306","BAXTER CORPORATION","Concentrated Hemodialysis Solution","DEXTROSE; ACETIC ACID; MAGNESIUM CHLORIDE; CALCIUM CHLORIDE; SODIUM CHLORIDE","45G; 10.8G; 1.61G; 7.49G; 263G",4.5L,DIALYSIS,Discontinued,SOLUTION,B05,"HEMODIALYTICS AND HEMOFILTRATES",2017-04-01,2017-04-01,"Business reasons",2017-04-19,2017-12-22,No
